Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-12-31 00:00:00+00:00,88407.7265625,88407.7265625,88407.7265625,88407.7265625,0
2025-12-31 00:01:00+00:00,88375.3125,88375.3125,88375.3125,88375.3125,0
2025-12-31 00:02:00+00:00,88342.1953125,88342.1953125,88342.1953125,88342.1953125,4481024
2025-12-31 00:03:00+00:00,88352.9921875,88352.9921875,88352.9921875,88352.9921875,117678080
2025-12-31 00:04:00+00:00,88314.84375,88314.84375,88314.84375,88314.84375,0
2025-12-31 00:05:00+00:00,88318.984375,88318.984375,88318.984375,88318.984375,5136384
2025-12-31 00:06:00+00:00,88344.390625,88344.390625,88344.390625,88344.390625,16662528
2025-12-31 00:07:00+00:00,88315.4453125,88315.4453125,88315.4453125,88315.4453125,0
2025-12-31 00:08:00+00:00,88311.234375,88311.234375,88311.234375,88311.234375,1384448
2025-12-31 00:09:00+00:00,88286.71875,88286.71875,88286.71875,88286.71875,0
2025-12-31 00:10:00+00:00,88303.5,88303.5,88303.5,88303.5,20787200
2025-12-31 00:11:00+00:00,88282.4296875,88282.4296875,88282.4296875,88282.4296875,0
2025-12-31 00:12:00+00:00,88267.1328125,88267.1328125,88267.1328125,88267.1328125,7450624
2025-12-31 00:13:00+00:00,88263.5,88263.5,88263.5,88263.5,137752576
2025-12-31 00:14:00+00:00,88286.3671875,88286.3671875,88286.3671875,88286.3671875,3534848
2025-12-31 00:15:00+00:00,88296.0234375,88296.0234375,88296.0234375,88296.0234375,0
2025-12-31 00:16:00+00:00,88297.7421875,88297.7421875,88297.7421875,88297.7421875,115204096
2025-12-31 00:17:00+00:00,88298.0078125,88298.0078125,88298.0078125,88298.0078125,0
2025-12-31 00:18:00+00:00,88285.2734375,88285.2734375,88285.2734375,88285.2734375,6549504
2025-12-31 00:19:00+00:00,88217.96875,88217.96875,88217.96875,88217.96875,21377024
2025-12-31 00:20:00+00:00,88213.9765625,88213.9765625,88213.9765625,88213.9765625,10641408
2025-12-31 00:21:00+00:00,88251.3984375,88251.3984375,88251.3984375,88251.3984375,5378048
2025-12-31 00:23:00+00:00,88225.3984375,88225.3984375,88225.3984375,88225.3984375,23343104
2025-12-31 00:24:00+00:00,88243.6796875,88243.6796875,88243.6796875,88243.6796875,5070848
2025-12-31 00:26:00+00:00,88234.1015625,88234.1015625,88234.1015625,88234.1015625,0
2025-12-31 00:27:00+00:00,88229.3828125,88229.3828125,88229.3828125,88229.3828125,112242688
